energy_raw,prob,count
-62.08319936,0.47,470
-54.7234301,0.062,62
-52.57047812,0.313,313
-44.62571424,0.018,18
-44.32959819,0.006,6
-44.28114957,0.123,123
-41.06614345,0.001,1
-38.19575049,0.003,3
-34.26910518,0.002,2
-28.99079957,0.002,2
