energy,prob,count
-16.69859907,0.001,1
-16.48963171,0.001,1
-16.46391285,0.002,2
-16.33965292,0.001,1
-16.32417209,0.002,2
-16.19543195,0.002,2
-16.11873793,0.001,1
-16.11135269,0.001,1
-16.07022644,0.001,1
-15.79422027,0.001,1
-15.57392113,0.001,1
-15.5454009,0.001,1
-15.49155532,0.001,1
-15.48849908,0.001,1
-15.43434841,0.001,1
-15.40130339,0.002,2
-15.30235691,0.001,1
-15.04443713,0.001,1
-14.96320394,0.001,1
-14.91675988,0.001,1
-14.90459351,0.001,1
-14.73621195,0.001,1
-14.50790322,0.001,1
-14.50067558,0.001,1
-14.47269794,0.002,2
-14.46418143,0.001,1
-14.3976043,0.002,2
-14.37816517,0.001,1
-14.35581291,0.001,1
-14.34545783,0.002,2
-14.2877086,0.001,1
-14.19675841,0.001,1
-14.15982442,0.003,3
-14.09270078,0.001,1
-13.82599768,0.001,1
-13.6541862,0.001,1
-13.57182929,0.002,2
-13.48581303,0.002,2
-13.22180198,0.001,1
-13.1572552,0.001,1
-12.66922249,0.001,1
-12.66196511,0.001,1
-12.52646268,0.001,1
-12.50144303,0.001,1
-12.29522163,0.001,1
-12.05099664,0.001,1
-12.02755268,0.001,1
-11.85649316,0.001,1
-11.82074456,0.001,1
-11.79538599,0.002,2
-11.74331115,0.001,1
-11.70406926,0.001,1
-11.68537147,0.002,2
-11.4296814,0.001,1
-11.32750452,0.001,1
-11.10547243,0.001,1
-10.9875949,0.001,1
-10.66156895,0.001,1
-10.64528557,0.001,1
-10.61683699,0.001,1
-10.54357198,0.001,1
-10.42653718,0.001,1
-10.32990584,0.001,1
-10.29774838,0.002,2
-10.15589848,0.001,1
-10.02650684,0.001,1
-10.00971215,0.001,1
-9.99020008,0.001,1
-9.95698966,0.001,1
-9.91250469,0.001,1
-9.89388241,0.001,1
-9.85605406,0.001,1
-9.7865999,0.002,2
-9.76060153,0.001,1
-9.7535866,0.002,2
-9.68284186,0.001,1
-9.66534284,0.001,1
-9.33064635,0.001,1
-9.30653603,0.001,1
-9.22051977,0.001,1
-8.77310894,0.001,1
-8.65104573,0.001,1
-8.60696903,0.001,1
-8.56624749,0.001,1
-8.52092775,0.001,1
-8.40850038,0.001,1
-8.36064666,0.002,2
-8.10721944,0.001,1
-8.07243151,0.001,1
-8.06917481,0.001,1
-8.0586341,0.001,1
-8.01542208,0.002,2
-7.95789354,0.001,1
-7.89621658,0.001,1
-7.88604884,0.001,1
-7.87187728,0.002,2
-7.83195327,0.001,1
-7.76094853,0.002,2
-7.74436957,0.001,1
-7.56196877,0.001,1
-7.45229155,0.001,1
-7.41378732,0.001,1
-7.30724753,0.001,1
-7.2858604,0.001,1
-7.15732292,0.001,1
-6.9650806,0.001,1
-6.93623237,0.001,1
-6.85021611,0.001,1
-6.79743636,0.001,1
-6.78327735,0.001,1
-6.70053273,0.001,1
-6.62913523,0.001,1
-6.60831823,0.001,1
-6.60624128,0.001,1
-6.60619735,0.001,1
-6.54810149,0.001,1
-6.27057755,0.001,1
-6.17656191,0.001,1
-5.97114194,0.002,2
-5.94421623,0.001,1
-5.88854289,0.001,1
-5.78202089,0.001,1
-5.70102672,0.001,1
-5.55357842,0.001,1
-5.5227898,0.001,1
-5.50444628,0.001,1
-5.43773199,0.001,1
-5.31445667,0.001,1
-5.3100907,0.001,1
-5.18584207,0.001,1
-5.13277547,0.001,1
-5.03766868,0.001,1
-4.99847878,0.001,1
-4.96424562,0.001,1
-4.86660757,0.001,1
-4.71365829,0.001,1
-4.59937764,0.001,1
-4.59312102,0.001,1
-4.54798446,0.001,1
-4.29279551,0.001,1
-4.28531366,0.001,1
-3.67729924,0.001,1
-3.65641625,0.001,1
-3.61709031,0.001,1
-3.55160289,0.001,1
-3.43845742,0.001,1
-3.16089135,0.001,1
-3.00576522,0.001,1
-2.99548696,0.001,1
-2.97250099,0.001,1
-2.65014031,0.002,2
-2.61337052,0.001,1
-2.53605107,0.001,1
-2.37730588,0.001,1
-2.17665369,0.001,1
-1.83264702,0.001,1
-1.45419119,0.001,1
-1.42498509,0.001,1
-1.37190889,0.001,1
-1.36918839,0.001,1
-1.28317213,0.001,1
-1.21660068,0.001,1
-0.78400836,0.001,1
-0.7810346,0.001,1
-0.54678763,0.001,1
-0.54441249,0.001,1
-0.47902328,0.001,1
-0.44247711,0.001,1
-0.20910936,0.001,1
0.43582563,0.001,1
0.49422967,0.001,1
0.63436065,0.001,1
0.75157105,0.001,1
0.91225754,0.001,1
1.18924567,0.002,2
1.32640235,0.001,1
1.42914731,0.001,1
1.53716371,0.001,1
2.48581455,0.001,1
2.49676514,0.001,1
2.58244862,0.001,1
2.61610064,0.001,1
2.70378702,0.001,1
2.74904559,0.001,1
2.85476278,0.001,1
3.19053501,0.001,1
3.64103212,0.001,1
3.67498737,0.001,1
3.84463305,0.001,1
4.0099689,0.001,1
4.02177167,0.001,1
4.20705305,0.001,1
4.27412176,0.001,1
4.3232869,0.001,1
4.45804136,0.001,1
4.50046442,0.001,1
4.59425842,0.001,1
4.6181911,0.001,1
4.66151822,0.001,1
4.81149386,0.001,1
4.90673618,0.001,1
