energy,prob,count
-62.08319936,0.4745,949
-54.7234301,0.0575,115
-52.57047812,0.2995,599
-44.62571424,0.0195,39
-44.32959819,0.002,4
-44.28114957,0.1305,261
-42.149551,0.0005,1
-40.20716432,0.005,10
-38.19575049,0.006,12
-34.26910518,0.0025,5
-28.99079957,0.001,2
-26.44780547,0.0015,3
