min_temp,max_temp,success_rate,runtime_s,best_energy_raw
0.0002,0.03,0.0,0.08288311958312988,-21.34430544520383
0.0002,0.044,0.0,0.08309578895568848,-21.34430544520383
0.0002,0.058,0.0,0.08675193786621094,-21.34430544520383
0.0002,0.07200000000000001,0.0,0.08315491676330566,-21.34430544520383
0.0002,0.08600000000000001,0.0,0.08315634727478027,-21.34430544520383
0.0002,0.1,0.0,0.08208680152893066,-21.34430544520383
0.00416,0.03,0.0,0.08227300643920898,-21.34430544520383
0.00416,0.044,0.0,0.08145403861999512,-21.34430544520383
0.00416,0.058,0.0,0.08342504501342773,-21.34430544520383
0.00416,0.07200000000000001,0.0,0.08254075050354004,-21.34430544520383
0.00416,0.08600000000000001,0.0,0.08202385902404785,-21.34430544520383
0.00416,0.1,0.0,0.0831601619720459,-21.34430544520383
0.00812,0.03,0.0,0.0837099552154541,-21.34430544520383
0.00812,0.044,0.0,0.08185100555419922,-21.34430544520383
0.00812,0.058,0.0,0.08151912689208984,-21.34430544520383
0.00812,0.07200000000000001,0.0,0.08184003829956055,-21.34430544520383
0.00812,0.08600000000000001,0.0,0.08211183547973633,-21.34430544520383
0.00812,0.1,0.0,0.08151721954345703,-21.34430544520383
0.01208,0.03,0.0,0.08295822143554688,-21.34430544520383
0.01208,0.044,0.0,0.08599400520324707,-21.34430544520383
0.01208,0.058,0.0,0.08218216896057129,-21.34430544520383
0.01208,0.07200000000000001,0.0,0.08206295967102051,-21.34430544520383
0.01208,0.08600000000000001,0.0,0.08222723007202148,-21.34430544520383
0.01208,0.1,0.0,0.08113694190979004,-21.34430544520383
0.01604,0.03,0.0,0.08375811576843262,-21.34430544520383
0.01604,0.044,0.0,0.08816981315612793,-21.34430544520383
0.01604,0.058,0.0,0.08379197120666504,-21.34430544520383
0.01604,0.07200000000000001,0.0,0.08302426338195801,-21.34430544520383
0.01604,0.08600000000000001,0.0,0.08321499824523926,-21.34430544520383
0.01604,0.1,0.0,0.08393526077270508,-21.34430544520383
0.02,0.03,0.0,0.08244991302490234,-21.34430544520383
0.02,0.044,0.0,0.08421778678894043,-21.34430544520383
0.02,0.058,0.0,0.08222103118896484,-21.34430544520383
0.02,0.07200000000000001,0.0,0.08372116088867188,-21.34430544520383
0.02,0.08600000000000001,0.0,0.08176326751708984,-21.34430544520383
0.02,0.1,0.0,0.08375692367553711,-21.34430544520383
