energy_raw,prob,count
-62.08319936,0.466,932
-54.7234301,0.056,112
-52.57047812,0.2975,595
-44.62571424,0.018,36
-44.32959819,0.0025,5
-44.28114957,0.147,294
-42.149551,0.0005,1
-40.20716432,0.003,6
-38.19575049,0.004,8
-34.26910518,0.0015,3
-28.99079957,0.004,8
