energy,prob,count
-62.08319936,0.489,489
-54.7234301,0.06,60
-52.57047812,0.323,323
-44.62571424,0.012,12
-44.32959819,0.003,3
-44.28114957,0.102,102
-40.20716432,0.006,6
-38.19575049,0.003,3
-28.99079957,0.002,2
