energy_raw,prob,count
-19.27806482,0.001,1
-19.22183065,0.002,2
-19.2061212,0.002,2
-19.18007645,0.001,1
-19.14474126,0.001,1
-18.99410361,0.001,1
-18.94585488,0.001,1
-18.93819824,0.001,1
-18.67615853,0.001,1
-18.63886255,0.001,1
-18.52371916,0.001,1
-18.03953999,0.001,1
-18.03255206,0.002,2
-18.00473258,0.001,1
-17.91871632,0.001,1
-17.8812786,0.001,1
-17.7744213,0.001,1
-17.76080524,0.001,1
-17.75287319,0.001,1
-17.66854627,0.003,3
-17.62009765,0.002,2
-17.51644613,0.001,1
-17.38220781,0.001,1
-17.36877307,0.001,1
-17.35667415,0.001,1
-17.27149684,0.001,1
-17.24189731,0.001,1
-17.20782472,0.001,1
-17.14266036,0.001,1
-17.11301449,0.002,2
-17.08770054,0.001,1
-17.01629784,0.001,1
-17.00218885,0.001,1
-16.96056139,0.003,3
-16.90284321,0.001,1
-16.823697,0.001,1
-16.75062536,0.001,1
-16.74432811,0.001,1
-16.65478697,0.001,1
-16.48975309,0.002,2
-16.46391285,0.002,2
-16.38077764,0.001,1
-16.19543195,0.001,1
-16.16349072,0.001,1
-16.16100503,0.002,2
-16.11873793,0.002,2
-16.09218762,0.001,1
-15.98538495,0.001,1
-15.5454009,0.001,1
-15.4858968,0.002,2
-15.43434841,0.002,2
-15.17017863,0.001,1
-15.04443713,0.001,1
-14.73621195,0.001,1
-14.65499923,0.001,1
-14.57407713,0.001,1
-14.56002884,0.001,1
-14.50790322,0.001,1
-14.50067558,0.001,1
-14.48806087,0.002,2
-14.11579218,0.001,1
-13.83485922,0.001,1
-13.57182929,0.001,1
-13.56854866,0.001,1
-13.55885678,0.001,1
-13.51496375,0.001,1
-13.45694419,0.001,1
-13.35502695,0.001,1
-13.35064948,0.001,1
-13.25755176,0.001,1
-13.219437,0.001,1
-12.75523875,0.001,1
-12.59993051,0.001,1
-12.5789633,0.002,2
-12.46271433,0.001,1
-12.27994399,0.001,1
-12.03537894,0.001,1
-11.96881369,0.001,1
-11.96025721,0.001,1
-11.94198657,0.001,1
-11.85649316,0.001,1
-11.82074456,0.002,2
-11.80067513,0.001,1
-11.74331115,0.002,2
-11.73561661,0.001,1
-11.68212918,0.001,1
-11.67797871,0.001,1
-11.51536488,0.001,1
-11.47877644,0.001,1
-11.40958382,0.001,1
-11.38123278,0.001,1
-11.34502273,0.001,1
-10.62027662,0.001,1
-10.54357198,0.001,1
-10.42653718,0.001,1
-10.420669,0.002,2
-10.09572841,0.002,2
-10.04300592,0.001,1
-10.00971215,0.001,1
-9.95698966,0.001,1
-9.91250469,0.001,1
-9.89388241,0.001,1
-9.76060153,0.002,2
-9.52069454,0.001,1
-9.43667314,0.001,1
-9.35543987,0.002,2
-9.26970677,0.002,2
-9.19548354,0.001,1
-9.04657173,0.001,1
-8.87850351,0.001,1
-8.81982071,0.001,1
-8.78624454,0.001,1
-8.77310894,0.001,1
-8.74990383,0.001,1
-8.72360362,0.001,1
-8.68324234,0.001,1
-8.63727421,0.001,1
-8.62858257,0.001,1
-8.61364723,0.001,1
-8.1932357,0.001,1
-7.98615138,0.001,1
-7.85793334,0.001,1
-7.84973383,0.001,1
-7.77248524,0.001,1
-7.76094853,0.001,1
-7.43415926,0.001,1
-7.39956906,0.001,1
-7.3420132,0.001,1
-7.30724753,0.001,1
-6.98057214,0.001,1
-6.9650806,0.001,1
-6.96397603,0.001,1
-6.93623237,0.001,1
-6.85021611,0.001,1
-6.69691178,0.001,1
-6.639239,0.001,1
-6.53192916,0.001,1
-6.45800982,0.001,1
-6.44121783,0.001,1
-6.26097425,0.001,1
-5.81601557,0.001,1
-5.65899819,0.001,1
-5.65423103,0.001,1
-5.56851376,0.001,1
-5.55500839,0.001,1
-5.54480756,0.001,1
-5.31445667,0.001,1
-5.27650001,0.001,1
-5.25839011,0.001,1
-5.21000878,0.001,1
-5.16437383,0.001,1
-5.13277547,0.001,1
-5.01247713,0.001,1
-4.99847878,0.001,1
-4.9084162,0.001,1
-4.89573382,0.001,1
-4.80078677,0.002,2
-4.73701225,0.001,1
-4.41334332,0.001,1
-4.40758324,0.001,1
-4.29279551,0.001,1
-4.29195832,0.001,1
-4.28531366,0.001,1
-3.37046848,0.001,1
-3.23847815,0.001,1
-2.86100942,0.001,1
-2.66105814,0.001,1
-2.5982696,0.001,1
-2.52223066,0.001,1
-2.4362144,0.001,1
-2.41731283,0.001,1
-2.35054637,0.001,1
-2.33646075,0.002,2
-2.17665369,0.001,1
-2.17489181,0.001,1
-2.07270667,0.001,1
-2.04515289,0.001,1
-1.97759988,0.001,1
-1.96774081,0.001,1
-1.96640748,0.001,1
-1.80905414,0.001,1
-1.79366855,0.001,1
-1.7094205,0.001,1
-1.44812335,0.001,1
-1.28317213,0.001,1
-0.79578554,0.001,1
-0.73304031,0.001,1
-0.68385771,0.002,2
-0.63110775,0.001,1
-0.48210699,0.001,1
-0.39678507,0.001,1
-0.22437076,0.001,1
-0.14821874,0.001,1
-0.06727319,0.001,1
0.03697621,0.001,1
0.11591904,0.001,1
0.14185837,0.001,1
0.17050321,0.001,1
0.2928905,0.001,1
0.31065608,0.001,1
0.53438888,0.001,1
0.5637742,0.001,1
0.60549349,0.001,1
0.62858791,0.001,1
0.73032116,0.001,1
0.91225754,0.001,1
1.0615899,0.001,1
1.0919017,0.001,1
1.22817664,0.001,1
1.46330499,0.001,1
1.59081256,0.001,1
1.84346813,0.001,1
1.85166373,0.001,1
1.91917245,0.001,1
1.97261889,0.001,1
2.068926,0.001,1
2.12793572,0.001,1
2.76406616,0.001,1
2.77148301,0.001,1
3.22807071,0.001,1
3.57780673,0.001,1
3.67474082,0.001,1
3.77967637,0.001,1
3.78228979,0.001,1
4.05532593,0.001,1
4.38088362,0.001,1
4.43584335,0.001,1
4.56159871,0.001,1
4.98301315,0.001,1
5.07398013,0.001,1
5.21172839,0.001,1
5.49878109,0.001,1
5.61970999,0.001,1
5.68996297,0.001,1
5.74718539,0.001,1
6.06962635,0.001,1
6.19477387,0.001,1
6.31155362,0.001,1
6.3219215,0.001,1
6.44608733,0.001,1
6.53812758,0.001,1
6.57553601,0.001,1
6.68313944,0.001,1
6.99049059,0.001,1
